ID,掲載箇所,現在の仮テキスト,判断（採用・修正・削除）,修正案,コメント
T001,index.html / 検索・SNS用メタ情報,&6（アンロック）は、6人でインタラクションに挑戦するゼミ。あなたと私たちの相互作用から、新しい世界を解き放っていく。,採用,,
T002,index.html / header / members/member-1.html / header / members/member-2.html / header / members/member-3.html / header / members/member-4.html / header / members/member-5.html / header / members/member-6.html / header / works/sample-between.html / header / works/sample-six-keys.html / header / works/sample-unlock.html / header,INTERACTION DESIGN,採用,,
T003,index.html / header / members/member-1.html / header / members/member-2.html / header / members/member-3.html / header / members/member-4.html / header / members/member-5.html / header / members/member-6.html / header / works/sample-between.html / header / works/sample-six-keys.html / header / works/sample-unlock.html / header,"YOU + US, SIX.",修正,6PeoPLE.∞……の位置に移動,
T004,index.html / top,AN INTERACTION STARTS WITH YOU.,削除,,
T005,index.html / top,6 PEOPLE. ∞ POSSIBILITIES.,削除,,
T006,index.html / top,&6 / INTERACTION DESIGN,採用,,
T007,index.html / top,あなた「と」私たち「6」人で、 / まだ見ぬ世界を、解き放つ。,削除,,
T008,index.html / top,日常の、その向こう側へ。,採用,,
T009,index.html / about,01 / WHO WE ARE,採用,,
T010,index.html / members,02 / THE SIX OF US,採用,,
T011,index.html / members,6人、6つの視点。,修正,考えます,
T012,index.html / members,違う感性が出会って、生まれるもの。 / 私たちの「らしさ」が、新しい体験の入口になる。,削除,,
T013,index.html / works,03 / OUR EXPLORATIONS,採用,,
T014,index.html / works,つくったもの、ひらいた場所。,採用,,
T015,index.html / works / works/sample-unlock.html / header,UNLOCK / ひらく、その先。,修正,サンプルのため変えます,
T016,index.html / works / works/sample-unlock.html / 検索・SNS用メタ情報 / works/sample-unlock.html / header,［サンプル］触れることからはじまる、インタラクションの展覧会。,修正,サンプルのため変えます,
T017,index.html / works / works/sample-between.html / header,あいだのかたち,修正,サンプルのため変えます,
T018,index.html / works / works/sample-between.html / 検索・SNS用メタ情報 / works/sample-between.html / header,［サンプル］あなたとわたし。その「あいだ」に生まれるもの。,修正,サンプルのため変えます,
T019,index.html / works / works/sample-six-keys.html / header,SIX KEYS / 6つの入口,修正,サンプルのため変えます,
T020,index.html / works / works/sample-six-keys.html / 検索・SNS用メタ情報 / works/sample-six-keys.html / header,［サンプル］6つの視点から、日常の新しい可能性をひらく。,修正,サンプルのため変えます,
T021,index.html / gallery,扉の向こうを、のぞいてみる。,,,
T022,index.html / gallery,ギャラリー1のカラービジュアル,,,
T023,index.html / gallery / images/gallery/gallery-1.svg,GALLERY 01,,,
T024,index.html / gallery,ギャラリー2のカラービジュアル,,,
T025,index.html / gallery / images/gallery/gallery-2.svg,GALLERY 02,,,
T026,index.html / gallery,ギャラリー3のカラービジュアル,,,
T027,index.html / gallery / images/gallery/gallery-3.svg,GALLERY 03,,,
T028,index.html / gallery,ギャラリー4のカラービジュアル,,,
T029,index.html / gallery / images/gallery/gallery-4.svg,GALLERY 04,,,
T030,index.html / gallery,ギャラリー5のカラービジュアル,,,
T031,index.html / gallery / images/gallery/gallery-5.svg,GALLERY 05,,,
T032,index.html / gallery,ギャラリー6のカラービジュアル,,,
T033,index.html / gallery / images/gallery/gallery-6.svg,GALLERY 06,,,
T034,index.html / news,公開日未定,,,
T035,index.html / news,次の活動のお知らせを、ここから。,,,
T036,index.html / news,展覧会や作品公開などのお知らせを掲載予定です。正式な内容が決まり次第、更新します。,,,
T037,index.html / footer / members/member-1.html / footer / members/member-2.html / footer / members/member-3.html / footer / members/member-4.html / footer / members/member-5.html / footer / members/member-6.html / footer / works/sample-between.html / footer / works/sample-six-keys.html / footer / works/sample-unlock.html / footer,LET’S UNLOCK,,,
T038,index.html / footer / members/member-1.html / footer / members/member-2.html / footer / members/member-3.html / footer / members/member-4.html / footer / members/member-5.html / footer / members/member-6.html / footer / works/sample-between.html / footer / works/sample-six-keys.html / footer / works/sample-unlock.html / footer,あなたと、まだ見ぬ世界へ。,,,
T039,works/sample-between.html / header,展覧会 / SAMPLE 02,,,
T040,works/sample-between.html / header / works/sample-six-keys.html / header / works/sample-unlock.html / header,これはレイアウト確認用の架空の展覧会です。実際の開催実績ではありません。,,,
T041,works/sample-between.html / header,人と人、人と空間の「あいだ」を探る展示を想定しています。見る人の存在によって表情を変える体験の記録を、ここに掲載できます。,,,
T042,works/sample-between.html / header / works/sample-six-keys.html / header / works/sample-unlock.html / header,正確な展示タイトル、開催年、会場、紹介文、作品写真に差し替えてご利用ください。,,,
T043,works/sample-six-keys.html / header,展覧会 / SAMPLE 03,,,
T044,works/sample-six-keys.html / header,6人の異なる感性が交わるグループ展を想定しています。作品のコンセプトや展示風景、制作プロセスなどを掲載できます。,,,
T045,works/sample-unlock.html / header,展覧会 / SAMPLE 01,,,
T046,works/sample-unlock.html / header,扉の向こうにあるのは、あなたのアクションで変わる世界。人と作品の相互作用をテーマにした展示を想定しています。,,,
T047,images/work-between.svg,SAMPLE 02 — NOT AN ACTUAL EXHIBITION,,,
T048,images/work-six.svg,SAMPLE 03 — NOT AN ACTUAL EXHIBITION,,,
T049,images/work-unlock.svg,SAMPLE 01 — NOT AN ACTUAL EXHIBITION,,,
